Hip,Sex,Sire,State,TBX #,Day / Set,Distance,UT Time,GO Time,G.O. 1/4,G.O. 3/8,G.O. 1/2,G.O. 5/8,A.W. 1/8,A.W. 1/4,DI,CD,Wind,Temp,Notes,Track Cond.,Barn,Consignor,Auction History,Stud Fee,Dam Sire Fee,
345,F,HIGHLY MOTIVATED,KY,,,1/8,10.2,11,34.4,50,,11.17,24.47,39.65,3,1,3 mph CW,80�,,Slow,18,Navas Equine,25FTKOCT $18K / 25KEEJAN $2.5K,$7.5K 2026 / $7.5K 2023,,
346,C,Idol,NY,,,,,,,,,,,,3.57,0.81,,,,,12,"Really and Truly Thoroughbreds, Agent III",25KEESEP $14K,$5K 2026 / $10K 2023,,
347,C,Aloha West,KY,,,1/8,10,10.3,33.1,47.1,,10.63,23.31,37.35,3,0.64,8 mph CW,76�,,Fair,5,"S B M Training and Sales, Agent III",25KEEEP ($22K) / 24KEENOV $15K,$6.5K 2026 / $10K 2023,,
348,C,CYBERKNIFE,KY,,,1/8,10.2,,,,,,,,2.6,0.67,,,,,1,"Kings Equine, Agent II",25FTKJUL ($95K),$15K 2026 / $30K 2023,,
349,C,Awesome Slew,FL,,,1/8,10,10.4,33.4,49.3,,10.99,23.97,39.67,2.64,0.6,7 mph CW,75�,,Fair,8,H. J. Parra Racing Stables,HB,$4K 2026 / $4K 2023,,
350,C,WARRIOR'S CHARGE,NY,,,1/4,21.3,12,33.3,47.4,01:04.1,,12.1,26.23,5,0.83,3 mph CW,80�,,Slow,13,Jose Munoz,25FTKOCT $27K,$5K 2026 / $5K 2023,,
351,C,Highly Motivated,KY,,,,,,,,,,,,3,0.63,,,,,11,"Randy Miles, Agent VI",24KEENOV $40K,$7.5K 2026 / $7.5K 2023,,
352,F,Vekoma,IA,,,1/8,10.2,11,34.3,49.1,,11.05,24.25,38.84,3,0.83,3 mph CW,80�,,Slow,15,Two Oaks Equine,25KEESEP ($29K) / 24KEENOV $25K,$100K 2026 / $15K 2023,,
353,C,Daredevil,FL,,,1/8,10.1,11,34.4,49.2,,11.08,24.69,39.35,3,0.83,4 mph CW,70�,,Fair,10,"Flynt Fesmire, Agent II",25OBSOCT $12K,N/A 2026 / $20K 2023,,
354,F,Flightline,KY,,,,,,,,,,,,3.4,0.73,,,,,17,"Caliente Thoroughbreds, Agent VIII",25KEESEP $150K,$125K 2026 / $200K 2023,,
355,F,Epicenter,NY,,,,,,,,,,,,1.86,0.3,,,,,3,"J V C Training and Sales, Agent",25KEESEP $57K / 224KEENOV ($42K),$25K 2026 / $45K 2023,,
356,C,Army Mule,KY,,,,,,,,,,,,3,0.71,,,,,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent III",25KEESEP $240K / 24KEENOV $70K,$25K 2026 / $12.5K 2023,,
357,C,Upstart,KY,,,1/8,10.1,11,34.1,48.2,,11.08,24.17,38.35,2.33,0.6,4 mph CW,75�,,Fair,12,"de Meric Sales, Agent VI",25KEESEP $52K / 24KEENOV ($35K),$25K 2026 / $30K 2023,,
358,C,MITOLE,NY,,,1/8,10,11,34.1,49.4,,11.04,24.36,39.92,1.67,0.38,18 mph TW,86�,,Slow,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",25SARAUG $50K,$10K 2026 / $15K 2023,,
359,F,Mind Control,NY,,,,,,,,,,,,6,0.93,,,,,17,"Next Level Thoroughbreds, Agent IV",24FTNMIX ($4.5K),$6K 2026 / $8.5K 2023,,
360,C,Rowayton,KY,,,,,,,,,,,,3,0.5,,,,,8,"Six K's Training & Sales LLC, Agent",HB,N/A 2026 / $7.5K 2023,,
361,C,HAPPY SAVER,KY,,,1/8,10,10.4,33.2,47.3,,10.87,23.51,37.6,3,0.83,10 mph CW,74�,,Fair,11,"Scanlon Training & Sales, Agent",25FTLJUL $110K,$7.5K 2026 / $12.5K 2023,,
362,C,Mo Donegal,KY,,,1/8,10,10.4,33.1,47,,10.83,23.39,37.04,3,0.5,4 mph TW,84�,,Slow,16,"Golden Rock Thoroughbreds, Agent VI",25FTKOCT $30K,$5K 2026 / $20K 2023,,
363,C,Uncle Chuck,FL,,,1/8,10,10.4,33.2,48.1,,10.86,23.54,38.23,11,1,9 mph CW,72�,,Fair,18,"Scenic Sales, Agent I",HB,N/A 2026 / $6.5K 2023,,
364,C,Jackie's Warrior,KY,,,1/8,10.2,11.2,35.4,51.3,,11.54,25.54,41.35,5,0.67,3 mph CW,80�,,Slow,11,"Randy Miles, Agent VIII",25KEESEP $150K / 24KEENOV $100K,$25K 2026 / $50K 2023,,
365,C,Uncle Mo,ON,,,1/8,10.2,11,34,48.1,,11.14,23.79,37.9,0,0,3 mph CW,80�,,Slow,1,"Kings Equine, Agent VI",25KLEESEP $300K,N/A 2026 / $150K 2023,,
366,C,Girvin,KY,,,1/4,21.4,11.6,33,46.2,01:02.1,,11.35,24.79,3,0.5,3 mph CW,80�,,Slow,3,"Pick View LLC, Agent XXXIII",25KEESEP $125K,$30K 2026 / $25K 2023,,
367,C,Justify,KY,,,1/8,10,10.4,33.1,47.2,,10.8,23.29,37.54,3,0.58,3 mph CW,75�,,Fair,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XVII",25KEESEP $150K,$200K 2026 / $100K 2023,,
368,F,Central Banker,NY,,,1/8,10,10.4,33.2,47.4,,10.92,23.41,37.98,2.56,0.56,3 mph CW,82�,,Slow,10,Medina Acres,25FTKFEB $7.5K / 24FTNMIX ($4.5K),$7.5K 2026 / $7.5K 2023,,
369,F,Frosted,KY,,,1/4,21.1,11.9,33,48,01:05.3,,11.98,26.95,3.67,0.86,7 mph CW,85�,,Slow,3,"Pick View LLC, Agent XI",25OBSWIN $72K / 24KEENOV $21K,$12.5K 2026 / $10K 2023,,
370,C,Goldencents,KY,,,,,,,,,,,,3.4,0.77,,,,,3,"Empire Bloodstock LLC, Agent",25OBSOCT ($20K) / 24KEENOV $6K,$10K 2026 / $10K 2023,,
371,C,Khozan,FL,,,1/8,10.1,11.1,35,50.2,,11.23,24.99,40.29,3,0.75,3 mph CW,80�,,Slow,17,"White Lilac (Katie Miranda), Agent II",HB,$6K 2026 / $6.5K 2023,,
372,F,Nyquist,KY,,,1/8,9.3,10.8,33.2,48.1,,10.79,23.85,38.6,3,0.5,6 mph CW,72�,,Fair,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent IX",25KEESEP $300K,$175K 2026 / $55K 2023,,
373,C,Caracaro,KY,,,1/8,10.1,10.9,33.1,47.2,,10.83,23.17,37.35,7,1.08,5 mph CW,85�,,Slow,3,"Global Thoroughbreds LLC, Agent",HB,$10K 2026 / $6.5K 2023,,
374,F,Vino Rosso,KY,,,1/8,9.4,,,,,,,,3,0.67,,,,,6,"Britton Peak, Agent I",25KEESEP $10K,$7.5K 2026 / $15K 2023,,
375,C,Tacitus,KY,,,1/8,10.3,11.1,34.3,49.2,,11.29,24.15,38.92,9.67,0.94,6 mph CW,84�,,Slow,18,Golden Noguez,25OBSOCT ($14K) / 25KEESEP $12K,$5K 2026 / $10K 2023,,
376,C,Good Magic,KY,,,,,,,,,,,,3,0.69,,,,,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent X",25KEESEP $350K,$125K 2026 / $50K 2023,,
377,F,Girvin,KY,,,,,,,,,,,,3,0.6,,,,,1,"Top Line Sales LLC, Agent XXVIII",25KEESEP $165K,$30K 2026 / $25K 2023,,
378,C,Pinehurst,KY,,,1/8,10.1,10.9,34,49,,10.97,23.98,38.92,5.29,0.82,3 mph CW,80�,,Slow,6,"Britton Peak, Agent I",25KEESEP $45K,$7.5K 2026 / $7.5K 2023,,
379,C,Practical Joke,KY,,,1/8,9.4,10.8,33.1,47.2,,10.75,23.41,37.71,15,1,9 mph TW,74�,,Fair,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XI",25KEESEP $270K,$75K 2026 / $25K 2023,,
380,C,Union Rags,KY,,,1/8,10,10.3,33,47.1,,10.73,23.12,37.21,2.6,0.83,6 mph TW,67�,,Fair,8,"Niall Brennan Stables, Agent VII",HB,$10K 2026 / $30K 2023,,
381,F,Practical Joke,KY,,,,,,,,,,,,3,0.5,,,,,12,"Envision Equine, Agent II",25KEESEP ($120K),$75K 2026 / $25K 2023,,
382,C,EPICENTER,KY,,,,,,,,,,,,1.4,0.17,,,,,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent IV",25FTSAUG $275K,$25K 2026 / $45K 2023,,
383,C,Oscar Performance,KY,,,,,,,,,,,,2.56,0.63,,,,,11,"Scanlon Training & Sales, Agent VI",25KEESEP $350K,$60K 2026 / $20K 2023,,
384,F,Halladay,CA,,,1/8,10.1,10.9,34.4,50,,10.93,24.67,39.92,2.11,0.5,6 mph CW,85�,,Slow,5,"S B M Training and Sales, Agent I",HB,$5K 2026 / $7.5K 2023,,
385,F,Uncle Chuck,FL,,,1/8,10.4,11.8,36.1,51.2,,11.75,25.54,40.73,2.33,0.65,5 mph CW,77�,,Fair,16,"Blas Perez Stables, Agent II",25OBSWIN $7.5K,N/A 2026 / $6.5K 2023,,
386,F,SPEAKER'S CORNER,LA,,,1/4,21,12,33,47.4,01:05.2,,12.17,26.98,4,0.7,3 mph CW,80�,,Slow,7,"Hoppel LLC, Agent XX",25FTKOCT $50K / 25TTAYRL ($52K),$10K 2026 / $20K 2023,,
387,C,Cupid,NY,,,1/8,10,10.4,34.1,48.4,,10.98,24.21,38.84,5.4,0.94,3 mph CW,80�,,Slow,15,Golden Thoroughbreds Training and Sales,25OBSOCT ($19K) / 25OBSWIN $5K,$5K 2026 / $8K 2023,,
388,F,Cyberknife,KY,,,1/8,10.2,11,34.2,50.2,,11.08,24.17,40.17,2,0.33,10 mph TW,85�,,Slow,7,"Hoppel LLC, Agent XVIII",25FTKOCT $72K / 25KEESEP ($100K) / 24KEENOV $100K,$15K 2026 / $30K 2023,,
389,F,Epicenter,KY,,,1/8,10,10.4,33.3,47.3,,10.89,23.75,37.6,2,0.5,3 mph CW,80�,,Slow,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XII",25KEESEP $190K,$25K 2026 / $45K 2023,,
390,C,Roadster,FL,,,1/8,10.1,,,,,,,,7,0.92,,,,,16,Advanced Thoroughbreds LLC,25OBSOCT $11K,$7.5K 2026 / $7.5K 2023,,
391,C,Yaupon,FL,,,1/8,9.3,10.7,32.2,47.1,,10.53,22.89,37.79,2,0.44,10 mph CW,79�,,Slow,1,"Kings Equine, Agent III",25KEESEP ($235K) / 24KEENOV $110K,$60K 2026 / $30K 2023,,
392,F,Omaha Beach,FL,,,1/8,10,10.4,33.1,47.4,,10.85,23.35,37.85,4,0.8,3 mph CW,80�,,Slow,12,"de Meric Sales, Agent XV",25KEESEP ($87K),$75K 2026 / $30K 2023,,
393,F,Into Mischief,KY,,,1/8,10,11,34.2,50.3,,11.01,24.42,40.67,7,1,4 mph TW,84�,,Slow,1,"Kings Equine, Agent II",HB,$250K 2026 / $250K 2023,,
394,F,Good Magic,KY,,,1/8,10.2,11,33.4,47.2,,11.04,23.59,37.03,3.5,0.67,6 mph CW,83�,,Slow,12,"de Meric Sales, Agent III",HB,$125K 2026 / $50K 2023,,
395,C,Golden Pal,KY,,,1/8,10.1,10.3,33.2,46.4,,10.79,23.23,36.67,4,0.8,10 mph CW,72�,,Fair,1,"Kings Equine, Agent VI",25KEESEP $300K,$25K 2026 / $30K 2023,,
396,C,Flightline,KY,,,1/8,10,11,34.4,51.2,,11.1,24.96,41.54,5.67,0.8,3 mph CW,80�,,Slow,7,"Julie Davies LLC, Agent VIII",HB,$125K 2026 / $200K 2023,,
397,F,Tiz the Law,KY,,,1/8,10.2,11.2,35,49.1,,11.44,24.79,38.89,15,1,3 mph CW,80�,,Slow,12,"de Meric Sales, Agent V",25KEESEP $130K / 24KEENOV $67K,$40K 2026 / $30K 2023,,
398,C,Golden Pal,KY,,,1/8,10,10.4,33.3,49.1,,10.91,23.71,39.35,4,0.8,6 mph CW,83�,,Slow,4,"Kinsman Farm, Agent I",25KEESEP $160K / 24KEENOV $80K,$25K 2026 / $30K 2023,,
399,C,Bucchero,FL,,,,,,,,,,,,3,0.75,,,,,8,"Paul Sharp, Agent IV",25OBSWIN $30K,$12.5K 2026 / $5K 2023,,
400,F,Not This Time,KY,,,1/8,10.4,11.9,37,52.3,,11.91,26.23,41.85,1.57,0.5,6 mph CW,84�,,Slow,8,"Paul Sharp, Agent II",25FTKOCT ($390K),$250K 2026 / $135K 2023,,
401,F,Galilean,NY,,,1/8,10.1,11,34.3,50.3,,11.01,24.48,40.48,3,0.8,3 mph CW,80�,,Slow,15,Sweet River Thoroughbreds,25OBSOCT ($17K) / 25OBSWIN $5K,$3.5K 2026 / $3.5K 2023,,
402,C,MIDSHIPMAN,KY,,,1/8,10.1,11,34.2,51,,11.18,24.39,40.92,7,0.9,3 mph CW,80�,,Slow,7,"Hoppel LLC, Agent XVII",25FTKJUL $170K,$15K 2026 / $20K 2023,,
403,C,Win Win Win,TX,,,1/8,10.1,11,34.1,49.2,,11.04,24.16,39.29,9,1.2,3 mph CW,80�,,Slow,2,"Cesar Loya Training & Sales, Agent",25TTAYRL $50K,$8.5K 2026 / $5K 2023,,
404,F,Cairo Prince,KY,,,,,,,,,,,,Infinite,1.25,,,,,18,"Navas Equine, Agent",25KEESEP $27K,$10K 2026 / $15K 2023,,
405,C,NASHVILLE,LA,,,1/8,10,10.4,33.2,46.3,,10.8,23.4,36.78,3,0.67,6 mph TW,68�,,Fair,16,"Golden Rock Thoroughbreds, Agent",25FTKOCT $62K,$12.5K 2026 / $15K 2023,,
406,F,Highly Motivated,FL,,,1/8,10,11.1,34.4,50.3,,11.24,24.88,40.73,3,0.63,5 mph TW,85�,,Slow,14,New Hope AB LLC,25OBSOCT ($22K),$7.5K 2026 / $7.5K 2023,,
407,F,Good Magic,KY,,,1/8,10.1,11,33.3,47.3,,11.1,23.48,37.54,4.33,0.81,3 mph CW,80�,,Slow,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XII",25KEESEP $285K,$125K 2026 / $50K 2023,,
408,C,Upstart,KY,N/A,02-Jan,1/8,10,10.3,20.3,33,47,,10.78,23.19,37.17,3,0.72,8 mph CW,70�,,Fair,15,Two Oaks Equine,25KEESEP ($45K),$25K 2026 / $30K 2023,
409,C,Tap Back,CA,N/A,03-Mar,1/8,10.1,10.9,21,33.3,47.4,,10.95,23.54,37.79,4.33,0.75,15 mph CW,85�,,Fast,14,"Omar Ramirez Bloodstock, Agent XXI",25TTAYRL $3.5K,$2.5K 2026 / $2.5K 2023,
410,F,Drain the Clock,KY,N/A,03-Jan,1/8,10,10.4,20.4,33.4,49.2,,10.86,23.99,39.49,4.33,0.63,8 mph TW,71�,,Fast,7,"Julie Davies LLC, Agent III",HB,$10K 2026 / $10K 2023,
411,C,Authentic,KY,N/A,03-Jan,1/8,10.2,11,21.2,34.1,48.1,,11.17,23.98,37.85,3,0.5,8 mph TW,74�,,Fast,14,"Winner Circle Racing Stable Corp., Agent",25KEESEP $32K,$15K 2026 / $60K 2023,
412,C,Vekoma,KY,N/A,03-Jan,1/8,10.1,10.3,20.4,33.1,46.1,,10.77,23.03,36.12,4,1.1,7 mph TW,71�,,Fast,3,"J V C Training and Sales, Agent IV",25FTKOCT $100K / 25KEESEP ($140K),$100K 2026 / $15K 2023,
413,F,Mo Donegal,KY,,,,,,,,,,,,,2.43,0.42,,,,,11,"Randy Miles, Agent VIII",25KEESEP $30K / 25OBSWIN $19K / 24KEENOV $5.5K,$5K 2026 / $20K 2023,
OUT,,,,,,,,,,,,,,,,,,,,,,,,,,
414,C,Vekoma,KY,,,,,,,,,,,,,3.8,0.92,,,,,8,"Niall Brennan Stables, Agent VI",25KEESEP $42K,$100K 2026 / $15K 2023,
OUT,,,,,,,,,,,,,,,,,,,,,,,,,,
415,C,Bolt d'Oro,KY,N/A,03-Jan,1/8,10.1,10.9,21,33.2,48.1,,10.86,23.39,38.1,4.33,0.88,3 mph TW,71�,,Fast,6,"RiceHorse Stable (Brandon & Ali Rice), Agent",25FTKOCT $140K / 24KEENOV ($45K),$25K 2026 / $35K 2023,
416,C,Into Mischief,KY,N/A,03-Jan,1/8,9.4,10.8,20.2,32.3,46.4,,10.63,22.98,37.17,Infinite,1.17,5 mph TW,71�,,Fast,5,"S B M Training and Sales, Agent",25KEESEP $75K,$250K 2026 / $250K 2023,
417,F,TAKE CHARGE INDY,KY,N/A,03-Mar,1/8,10.2,11,21.2,35,50.2,,11.17,24.67,40.17,4.71,0.8,5 mph CW,85�,,Fast,12,"de Meric Sales, Agent I",25FTKJUL $55K,$7.5K 2026 / $10K 2023,
418,F,Omaha Beach,LA,N/A,03-Feb,1/8,10.2,11,21.2,33.4,47,,11.19,23.57,36.71,4,0.9,3 mph CW,80�,,Fair,1,"Kings Equine, Agent I",25OBSWIN $16K,$75K 2026 / $30K 2023,
419,C,OLYMPIAD,KY,N/A,03-Jan,1/8,9.4,10.8,20.2,33.1,48.2,,10.79,23.57,38.6,5.67,0.9,3 mph TW,71�,,Fast,14,"Omar Ramirez Bloodstock, Agent XX",25FTKJUL $11K / 24KEENOV ($85K),$20K 2026 / $35K 2023,
420,F,Olympiad,KY,,,,,,,,,,,,,3.89,0.73,,,,,1,"Top Line Sales LLC, Agent XXXVIII",24KEENOV $25K,$20K 2026 / $35K 2023,
OUT,,,,,,,,,,,,,,,,,,,,,,,,,,
421,F,Nashville,KY,,,,,,,,,,,,,5,0.92,,,,,2,"Cesar Loya Training & Sales, Agent",25KEESEP $50K / 24KEENOV $87K,$12.5K 2026 / $15K 2023,
OUT,,,,,,,,,,,,,,,,,,,,,,,,,,
422,F,Jack Christopher,KY,N/A,03-Feb,1/8,10.1,11.1,21.2,33.4,47.4,,11.31,23.67,37.78,4,0.8,9 mph CW,83�,,Fair,9,Potrero Stables,25KEESEP $25K,$15K 2026 / $45K 2023,
423,C,Mandaloun,KY,,,,,,,,,,,,,19,1.1,,,,,17,"Skies Thoroughbreds, Agent",25KEESEP ($25K),$10K 2026 / $25K 2023,
OUT,,,,,,,,,,,,,,,,,,,,,,,,,,
424,C,Cyberknife,NY,,,,,,,,,,,,,3,0.58,,,,,9,"Sequel Bloodstock, Agent for Chester Broman",HB,$15K 2026 / $30K 2023,
OUT,,,,,,,,,,,,,,,,,,,,,,,,,,
425,F,Win Win Win,FL,,,,,,,,,,,,,5,1,,,,,4,Ocala Stud,HB,$8.5K 2026 / $5K 2023,
OUT,,,,,,,,,,,,,,,,,,,,,,,,,,
426,F,Jack Christopher,KY,N/A,03-Feb,1/8,10.2,11,21.2,35.3,53.1,,11.19,25.32,42.98,5,0.67,5 mph CW,78�,,Fast,6,RiceHorse Stable (Brandon & Ali Rice),25KEESEP $15K / 24KEENOV ($60K),$15K 2026 / $45K 2023,
427,C,American Pharoah,KY,N/A,03-Mar,1/8,10.3,11.1,21.4,34.4,50.3,,11.28,24.21,40.1,7,1.25,4 mph CW,85�,,Fast,18,"GOP Racing Stable Corp., Agent III",HB,"$25,850 2026 / $60K 2023",
428,F,Dialed In,KY,N/A,03-Jan,1/8,10,10.4,20.4,33.3,48.4,,10.91,23.69,38.85,3,0.83,3 mph TW,70�,,Fast,11,"Randy Miles, Agent VIII",25KEESEP $40K / 25FTKFEB $17K,$10K 2026 / $15K 2023,
429,F,Greatest Honour,KY,N/A,03-Feb,1/8,10.2,11,21.2,34.2,48.3,,11.19,24.17,38.27,5.67,0.9,7 mph CW,81�,,Fair,6,"Ortiz Training Stable LLC, Agent I",25KEESEP $15K,$7.5K 2026 / $7.5K 2023,
430,C,Hard Spun,NY,N/A,03-Mar,1/8,11.4,11.8,23.2,36.2,51.2,,11.73,24.76,39.79,2.69,0.58,11 mph CW,84�,,Fast,14,Great Destiny,25KEESEP $9K / 24FTNMIX ($37K),$20K 2026 / $35K 2023,
431,C,Mind Control,NY,N/A,03-Feb,1/8,10.2,11.1,21.3,34.2,49,,11.21,24.13,38.79,4,0.7,11 mph TW,78�,,Fast,18,"GOP Racing Stable Corp., Agent IV",25OBSOCT $23K,$6K 2026 / $8.5K 2023,
432,C,MENDELSSOHN,NY,N/A,03-Mar,1/8,10.1,11,21.1,34.4,52.2,,11.12,24.71,42.23,4,0.8,5 mph TW,85�,,Fast,7,"Hoppel LLC, Agent IV",25SARAUG $50K,N/A 2026 / $25K 2023,
433,F,Olympiad,KY,N/A,03-Jan,1/4,20.3,11.8,,32.1,46.3,01:05.2,,11.73,26.13,4,0.75,8 mph CW,72�,,Fast,7,"Hoppel LLC, Agent XII",25KEESEP ($160K),$20K 2026 / $35K 2023,
434,F,Golden Pal,KY,N/A,03-Feb,1/8,10,10.4,20.4,33.3,47.4,,10.96,23.68,37.96,3,0.57,11 mph CW,77�,,Fast,1,"Kings Equine, Agent",25KEESEP $160K,$25K 2026 / $30K 2023,
435,C,GAME WINNER,KY,N/A,03-Feb,1/8,10.1,11,21.1,33.4,47.4,,11.11,23.67,37.67,3,0.63,14 mph CW,82�,,Fair,17,"My Little Stable Racing, Inc., Agent I",25FTKJUL $23K / 25FTKFEB $18K,N/A 2026 / $30K 2023,
436,F,Complexity,KY,N/A,03-Jan,1/8,10,10.3,20.3,33,46.4,,10.77,23.17,36.85,19,1,4 mph TW,71�,,Fast,18,"GOP Racing Stable Corp., Agent",25KEESEP $30K / 24KEENOV $37K,$20K 2026 / $12.5K 2023,
437,F,Yaupon,KY,N/A,03-Jan,1/8,9.4,10.7,20.1,32.2,46.3,,10.44,22.73,36.84,3,0.75,5 mph TW,71�,,Fast,12,"de Meric Sales, Agent IX",25KEESEP $310K / 24KEENOV $45K,$60K 2026 / $30K 2023,
438,C,Curlin,KY,N/A,03-Jan,1/8,10.2,11,21.2,34.3,49.4,,11.11,24.28,39.53,3,0.69,8 mph CW,73�,,Fast,1,"Top Line Sales LLC, Agent XII",25KEESEP ($250K),$225K 2026 / $225K 2023,
439,C,Jackie's Warrior,KY,,,,,,,,,,,,,3.67,0.71,,,,,11,"Scanlon Training & Sales, Agent V",24FTKNOV $200K,$25K 2026 / $50K 2023,
OUT,,,,,,,,,,,,,,,,,,,,,,,,,,
440,C,Tiz the Law,KY,N/A,03-Jan,1/8,10,10.3,20.3,33.1,47,,10.73,23.23,37.1,3,0.83,5 mph CW,71�,,Fast,3,"Global Thoroughbreds LLC, Agent I",HB,$40K 2026 / $30K 2023,
441,C,Greatest Honour,KY,,,,,,,,,,,,,4.33,0.75,,,,,3,"Pick View LLC, Agent XXX",25OBSOCT $50K / 24KEENOV $9K,$7.5K 2026 / $7.5K 2023,
OUT,,,,,,,,,,,,,,,,,,,,,,,,,,
442,C,DRAIN THE CLOCK,KY,N/A,03-Feb,1/8,10,10.3,20.3,33.2,48.4,,10.79,23.42,38.92,4.33,0.63,5 mph CW,78�,,Fast,1,"Top Line Sales LLC, Agent V",25FTSAUG $175K,$10K 2026 / $10K 2023,
443,C,Life Is Good,KY,,,,,,,,,,,,,3,1,,,,,8,"Niall Brennan Stables, Agent I",25KEESEP $100K,$60K 2026 / $100K 2023,
OUT,,,,,,,,,,,,,,,,,,,,,,,,,,
444,C,Vekoma,IN,N/A,03-Jan,1/4,21.2,11.9,,33.1,47.1,01:02.0,,11.82,25.99,3,0.67,9 mph CW,73�,,Fast,3,"Pick View LLC, Agent XXII",25KEESEP $160K / 24KEENOV $45K,$100K 2026 / $15K 2023,
445,F,Aloha West,KY,N/A,03-Mar,1/8,9.4,10.7,20.1,33,47.4,,10.59,23.24,38.17,3.36,0.75,9 mph TW,84�,,Fast,1,"Top Line Sales LLC, Agent XII",25KEESEP $60K / 25KEEJAN ($27K),$6.5K 2026 / $10K 2023,
446,F,MAXIMUS MISCHIEF,KY,N/A,03-Jan,1/8,10,10.4,20.4,34,49.2,,10.94,24.18,39.47,Infinite,1.25,5 mph TW,72�,,Fast,13,"Marco Hernandez Stables LLC, Agent III",25FTKJUL $55K,$20K 2026 / $7.5K 2023,
447,C,Caracaro,KY,,,,,,,,,,,,,7,1,,,,,3,"Global Thoroughbreds LLC, Agent",24KEENOV $20K,$10K 2026 / $6.5K 2023,
OUT,,,,,,,,,,,,,,,,,,,,,,,,,,
448,F,Mystic Guide,KY,N/A,03-Feb,1/8,10.2,11.1,21.3,34.4,49,,11.28,24.47,38.76,2.64,0.55,4 mph CW,80�,,Fair,5,"S B M Training and Sales, Agent III",25KEESEP $14K,$7.5K 2026 / $15K 2023,
449,F,Jackie's Warrior,KY,N/A,03-Jan,1/8,9.4,10.8,20.2,33.2,48,,10.79,23.79,38.29,7,0.81,3 mph TW,70�,,Fast,1,"Kings Equine, Agent",25KEESEP $125K,$25K 2026 / $50K 2023,
450,F,Solomini,NY,,,,,,,,,,,,,2.27,0.56,,,,,2,"Hidden Brook, Agent VI",HB,$7.5K 2026 / $6.5K 2023,
OUT,,,,,,,,,,,,,,,,,,,,,,,,,,
451,C,Authentic,KY,,,,,,,,,,,,,5,0.83,,,,,12,"Thorostock LLC, Agent III",25KEESEP $70K,$15K 2026 / $60K 2023,
OUT,,,,,,,,,,,,,,,,,,,,,,,,,,
452,C,Epicenter,KY,N/A,03-Feb,1/8,10.4,11.7,22.1,36,51.4,,11.58,25.39,41.04,1.4,0.33,7 mph CW,81�,,Fair,3,"Mayberry Farm, Agent",25KEESEP ($85K),$25K 2026 / $45K 2023,
453,F,Twirling Candy,KY,N/A,03-Jan,1/4,20.2,11.1,,31.3,45.1,01:01.0,,11.32,24.99,3,0.75,5 mph CW,72�,,Fast,10,"Tom McCrocklin, Agent II",25KEESEP ($75K),$75K 2026 / $60K 2023,
454,C,Life Is Good,KY,,,,,,,,,,,,,3,0.5,,,,,6,"Britton Peak, Agent I",25KEESEP $275K,$60K 2026 / $100K 2023,
OUT,,,,,,,,,,,,,,,,,,,,,,,,,,
455,C,Independence Hall,FL,N/A,03-Jan,1/8,10,10.4,20.4,33.3,48.4,,10.96,23.67,38.98,3,0.5,9 mph CW,73�,,Fast,17,"Skies Thoroughbreds, Agent I",HB,$10K 2026 / $10K 2023,
456,F,Corniche,KY,N/A,03-Jan,1/8,10.2,11.1,21.3,34.3,49,,11.3,24.26,38.7,3,0.5,8 mph TW,71�,,Fast,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XIV",25KEESEP $220K,$15K 2026 / $30K 2023,
457,F,Cairo Prince,FL,,,,,,,,,,,,,3,0.75,,,,,17,Champions of the Future,25OBSOCT ($23K) / 25OBSWIN $3.5K,$10K 2026 / $15K 2023,
OUT,,,,,,,,,,,,,,,,,,,,,,,,,,
458,C,Drain the Clock,KY,N/A,03-Jan,1/8,10.1,11.1,21.2,34.2,49.4,,11.28,24.39,39.73,4.33,0.88,4 mph TW,71�,,Fast,11,"Randy Miles, Agent VIII",25KEESEP $140K / 24KEENOV $70K,$10K 2026 / $10K 2023,
459,F,Golden Pal,KY,N/A,03-Feb,1/8,10,10.4,20.4,34.1,49.3,,10.97,24.28,39.65,5,0.83,7 mph CW,79�,,Fast,3,"Marcial Galan, Agent",HB,$25K 2026 / $30K 2023,
460,C,HIGHLY MOTIVATED,KY,,,,,,,,,,,,,Infinite,1.5,,,,,13,"Marco Hernandez Stables LLC, Agent III",25FTKJUL $20K / 24KEENOV $22K,$7.5K 2026 / $7.5K 2023,
OUT,,,,,,,,,,,,,,,,,,,,,,,,,,
461,F,Caracaro,KY,N/A,03-Feb,1/8,10.1,11,21.1,34,48.4,,11.06,23.98,38.6,3.8,0.83,6 mph CW,78�,,Fast,16,"Golden Rock Thoroughbreds, Agent III",25KEESEP $11K,$10K 2026 / $6.5K 2023,
